cluster,,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m,37m
lv,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
opt,,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb35.4ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb45.0ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb54.7ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb64.3ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0
planning_horizon,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
,carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generators,coal,247672.54510455334,359.03203344435417,48.49827207533077,188.9496530336199,589.9232798460876,417.67062965923014,331.1325099944426,243756.792791302,11912.92159944953,587.2042892303552,371.4348736263807,605.4651371877908,400.8536509037465,328.13190495498225,248626.6762608666,76574.65678515151,1102.5846035028358,419.9039883304689,625.8143274013862,389.6188404946216,147.2183747239647,244916.22916826478,168567.14970457883,3424.202454141095,1353.2264983211346,787.6524680794815,491.64138132065926,3.6124644651998317,242739.67716890434,190221.3048870621,33123.754961930674,1538.171394259883,962.7231077839349,504.1703988428623,0.002160798252665774,245095.30744045024,198831.52999535098,88313.19048454125,4067.0989847142737,1051.755829538407,614.1379182791211,0.0007401086887903272
generators,gas,514968.71954991313,542615.9396235124,86436.17345943021,63877.39826590931,57942.572407981825,49195.673007634905,40825.92081817888,509949.98369746614,662546.4339074311,1643248.5983086152,90118.24473273044,64843.618927579475,53577.63235938602,39258.83286021826,535468.110224164,615418.752066464,529571.7304807265,205137.78749621264,138912.5894453274,97606.29999214371,34773.24248880648,625460.1541983606,624614.3316394899,545664.7061078133,366403.9444543846,209258.19941012512,168888.4604637424,37165.435113193664,538560.7023457855,640386.1708799456,618030.7480721824,546519.9457184793,351134.0085841361,216925.8930376951,38075.830403159634,504908.2126728181,656013.2825592174,597695.2334795721,594293.8749984371,489134.27475765103,353076.4152205545,39580.444200374775
generators,lignite,155859.40450361435,2467.2696178297415,0.020496211857178755,0.001009159995085992,155.16365844140378,25.18614037225945,69.71709670857187,153892.84676933303,60147.888012503376,24.177019900439152,0.0374119405950748,161.63564867480773,22.96783257498888,33.713576698213075,155614.7301578961,83143.20391662528,2729.9475973665617,0.2559606880735957,221.1313820486281,26.08071707473998,0.0021322212624986874,155940.0033715297,83696.49083854818,11604.314944304317,387.8897084905362,339.7412564357828,31.537029521962946,0.0004142414705291182,153400.05081452153,84595.87710214086,44859.464926701454,5228.789508632924,397.7358791565255,34.852164079029265,0.0005800376470063982,154604.14394684182,84246.51176775838,51088.8585989356,13205.663019549702,1612.9991587888776,78.10061232368768,0.00021963930603477387
generators,offwind,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,,3779.507833030538,3779.507833030538,3754.4782442661585,3567.5572753737715,2983.6259474460408,1483.7481379453213,
generators,offwind-ac,1.898864400883726,6192.748615174181,132474.4016794856,257448.06999999995,262734.55877084925,262734.04471001314,262734.0394403288,1.272836563796757,2429.9603582909945,36808.88642303996,114064.88233719092,180412.0074681734,200405.25561609928,200403.26729312542,1.599008327355034,9.567256719422836,12381.6195135808,55777.80726531687,110662.30371613675,139179.11287791652,185671.8988190387,1.3461391146319912,3.075660706995536,10709.409592059073,25287.61906492929,54278.18148441016,98135.83989682447,192157.96546924193,1.2479216541684057,1.7818968796310417,3587.6607356001514,18927.05960627363,26113.159111125864,48097.08072683604,190346.07959373214,1.392665240322401,1.1322670948961586,10.323314636426518,17081.035277972744,21428.49108434083,30691.037658260793,190444.5805999911
generators,offwind-dc,1.365225375987166,87149.55614611422,312515.65963219374,471499.57501874655,471530.939089807,471511.80994348484,471511.8079896049,0.9128970199581832,65593.38660144056,129126.05685986564,263629.9724043501,323091.7731207338,323091.8666198522,323072.9678835378,1.1549075454757884,28235.93581909218,98526.55306375913,147665.34318293253,238593.73480679106,250819.5190790813,257119.6805644186,0.9570560079145561,25611.2042062563,81086.48172625725,112507.86092575785,148033.86579397673,206051.51365161553,252136.98118444876,0.8903692865589428,1.6305577579772226,61961.49501237139,102331.59280251796,118545.01681990884,141350.35873643385,248597.04239754533,1.0014864874907696,0.7708938638332837,41563.67761269442,87687.41568684179,106132.95450360306,115870.05364186228,250104.8186705279
